,dc:title,owl:sameAs,odpt:lineCode
1,空港線,odpt.Railway:Keikyu.Airport,KK
2,大師線,odpt.Railway:Keikyu.Daishi,KK
3,久里浜線,odpt.Railway:Keikyu.Kurihama,KK
4,京急本線,odpt.Railway:Keikyu.Main,KK
5,東京さくらトラム（都電荒川線）,odpt.Railway:Toei.Arakawa,SA
6,逗子線,odpt.Railway:Keikyu.Zushi,KK
7,浅草線,odpt.Railway:Toei.Asakusa,A
8,三田線,odpt.Railway:Toei.Mita,I
9,日暮里・舎人ライナー,odpt.Railway:Toei.NipporiToneri,NT
10,大江戸線,odpt.Railway:Toei.Oedo,E
12,新宿線,odpt.Railway:Toei.Shinjuku,S
13,りんかい線,odpt.Railway:TWR.Rinkai,R
15,グリーンライン,odpt.Railway:YokohamaMunicipal.Green,G
18,ブルーライン,odpt.Railway:YokohamaMunicipal.Blue,B
30,小田原線,odpt.Railway:Odakyu.Odawara,
33,東武スカイツリーライン(押上-曳舟),odpt.Railway:Tobu.TobuSkytreeBranch,TS
34,東武スカイツリーライン,odpt.Railway:Tobu.TobuSkytree,TS
36,東上線,odpt.Railway:Tobu.Tojo,TJ
45,井の頭線,odpt.Railway:Keio.Inokashira,
48,京王新線,odpt.Railway:Keio.KeioNew,
49,京王線,odpt.Railway:Keio.Keio,
54,相模原線,odpt.Railway:Keio.Sagamihara,
55,高尾線,odpt.Railway:Keio.Takao,
63,池袋線,odpt.Railway:Seibu.Ikebukuro,SI
69,西武秩父線,odpt.Railway:Seibu.SeibuChichibu,SI
70,西武有楽町線,odpt.Railway:Seibu.SeibuYurakucho,SI
72,新宿線,odpt.Railway:Seibu.Shinjuku,SS
73,多摩川線,odpt.Railway:Seibu.Tamagawa,SW
80,ゆりかもめ,odpt.Railway:Yurikamome.Yurikamome,U
85,中央・総武各駅停車,odpt.Railway:JR-East.ChuoSobuLocal,JB
87,京成本線,odpt.Railway:Keisei.Main,KS
88,成田スカイアクセス線,odpt.Railway:Keisei.NaritaSkyAccess,
89,押上線,odpt.Railway:Keisei.Oshiage,KS
93,中央線快速,odpt.Railway:JR-East.ChuoRapid,JC
94,中央本線,odpt.Railway:JR-East.Chuo,
97,常磐線快速,odpt.Railway:JR-East.JobanRapid,
102,常磐線各駅停車,odpt.Railway:JR-East.JobanLocal,JL
112,京浜東北線・根岸線,odpt.Railway:JR-East.KeihinTohokuNegishi,JK
113,京葉線,odpt.Railway:JR-East.Keiyo,
116,武蔵野線,odpt.Railway:JR-East.Musashino,JM
117,南武線浜川崎支線,odpt.Railway:JR-East.NambuBranch,JN
119,南武線,odpt.Railway:JR-East.Nambu,JN
121,成田線空港支線,odpt.Railway:JR-East.NaritaAirportBranch,JO
122,成田線,odpt.Railway:JR-East.Narita,
127,青梅線,odpt.Railway:JR-East.Ome,JC
134,総武本線,odpt.Railway:JR-East.Sobu,
135,埼京線・川越線,odpt.Railway:JR-East.SaikyoKawagoe,
140,湘南新宿ライン,odpt.Railway:JR-East.ShonanShinjuku,JS
141,総武快速線,odpt.Railway:JR-East.SobuRapid,JO
143,相鉄直通線,odpt.Railway:JR-East.SotetsuDirect,
147,高崎線,odpt.Railway:JR-East.Takasaki,
150,東海道線,odpt.Railway:JR-East.Tokaido,
156,上野東京ライン,odpt.Railway:JR-East.UenoTokyo,
157,宇都宮線,odpt.Railway:JR-East.Utsunomiya,
161,山手線,odpt.Railway:JR-East.Yamanote,JY
162,横浜線,odpt.Railway:JR-East.Yokohama,JH
163,JR直通線,odpt.Railway:Sotetsu.JRDirect,SO
164,横須賀線,odpt.Railway:JR-East.Yokosuka,JO
166,世田谷線,odpt.Railway:Tokyu.Setagaya,SG
167,田園都市線,odpt.Railway:Tokyu.DenEnToshi,DT
168,池上線,odpt.Railway:Tokyu.Ikegami,IK
170,目黒線,odpt.Railway:Tokyu.Meguro,MG
171,大井町線,odpt.Railway:Tokyu.Oimachi,OM
172,東急多摩川線,odpt.Railway:Tokyu.TokyuTamagawa,TM
173,東横線,odpt.Railway:Tokyu.Toyoko,TY
174,いずみ野線,odpt.Railway:Sotetsu.Izumino,SO
175,相鉄本線,odpt.Railway:Sotetsu.Main,SO
176,千代田線,odpt.Railway:TokyoMetro.Chiyoda,C
177,副都心線,odpt.Railway:TokyoMetro.Fukutoshin,F
178,銀座線,odpt.Railway:TokyoMetro.Ginza,G
179,半蔵門線,odpt.Railway:TokyoMetro.Hanzomon,Z
180,日比谷線,odpt.Railway:TokyoMetro.Hibiya,H
181,丸ノ内線支線,odpt.Railway:TokyoMetro.MarunouchiBranch,Mb
182,丸ノ内線,odpt.Railway:TokyoMetro.Marunouchi,M
183,南北線,odpt.Railway:TokyoMetro.Namboku,N
184,東西線,odpt.Railway:TokyoMetro.Tozai,T
185,有楽町線,odpt.Railway:TokyoMetro.Yurakucho,Y
